"from","to","m","km","miles","seconds","minutes","hours","mode"
"Kuala Lumpur - Sentul,One Maxim","Bukit Bintang, Kuala Lumpur",10972,10.972,6.8180008,1166,19.4333333333333,0.323888888888889,"driving"
"Kuala Lumpur - Bukit Bintang,Casa Mutiara","Kuala Lumpur, TRX",2177,2.177,1.3527878,511,8.51666666666667,0.141944444444444,"driving"
"Kuala Lumpur - Bukit Bintang,Casa Mutiara","Kuala Lumpur City Centre",1744,1.744,1.0837216,510,8.5,0.141666666666667,"driving"
"Kuala Lumpur - Bukit Bintang,Casa Mutiara","Bukit Bintang, Kuala Lumpur",1423,1.423,0.8842522,402,6.7,0.111666666666667,"driving"
"Kuala Lumpur - Cheras,Laman Tasik","Kuala Lumpur, TRX",8479,8.479,5.2688506,1049,17.4833333333333,0.291388888888889,"driving"
"Kuala Lumpur - Cheras,Laman Tasik","Kuala Lumpur City Centre",7902,7.902,4.9103028,973,16.2166666666667,0.270277777777778,"driving"
"Kuala Lumpur - Cheras,Laman Tasik","Bukit Bintang, Kuala Lumpur",7725,7.725,4.800315,940,15.6666666666667,0.261111111111111,"driving"
"Kuala Lumpur - KL City,Residensi Seri Wahyu @ Jalan Kuching KL","Kuala Lumpur, TRX",13511,13.511,8.3957354,1199,19.9833333333333,0.333055555555556,"driving"
"Kuala Lumpur - KL City,Residensi Seri Wahyu @ Jalan Kuching KL","Kuala Lumpur City Centre",10386,10.386,6.4538604,1027,17.1166666666667,0.285277777777778,"driving"
"Kuala Lumpur - KL City,Residensi Seri Wahyu @ Jalan Kuching KL","Bukit Bintang, Kuala Lumpur",12321,12.321,7.6562694,1128,18.8,0.313333333333333,"driving"
"Kuala Lumpur - Wangsa Maju,The Hamilton","Kuala Lumpur, TRX",11117,11.117,6.9081038,1164,19.4,0.323333333333333,"driving"
"Kuala Lumpur - Wangsa Maju,The Hamilton","Kuala Lumpur City Centre",11896,11.896,7.3921744,1376,22.9333333333333,0.382222222222222,"driving"
"Kuala Lumpur - Wangsa Maju,The Hamilton","Bukit Bintang, Kuala Lumpur",10549,10.549,6.5551486,1154,19.2333333333333,0.320555555555556,"driving"
"Kuala Lumpur - Bukit Jalil,The Havre @ Bukit Jalil","Kuala Lumpur, TRX",17990,17.99,11.178986,1281,21.35,0.355833333333333,"driving"
"Kuala Lumpur - Bukit Jalil,The Havre @ Bukit Jalil","Kuala Lumpur City Centre",17438,17.438,10.8359732,1251,20.85,0.3475,"driving"
"Kuala Lumpur - Bukit Jalil,The Havre @ Bukit Jalil","Bukit Bintang, Kuala Lumpur",17423,17.423,10.8266522,1272,21.2,0.353333333333333,"driving"
"Kuala Lumpur - Setapak,","Kuala Lumpur, TRX",8535,8.535,5.303649,930,15.5,0.258333333333333,"driving"
"Kuala Lumpur - Setapak,","Kuala Lumpur City Centre",14528,14.528,9.0276992,1175,19.5833333333333,0.326388888888889,"driving"
"Kuala Lumpur - Setapak,","Bukit Bintang, Kuala Lumpur",8355,8.355,5.191797,953,15.8833333333333,0.264722222222222,"driving"
"Kuala Lumpur - Jalan Kuching,","Kuala Lumpur, TRX",12095,12.095,7.515833,1010,16.8333333333333,0.280555555555556,"driving"
"Kuala Lumpur - Jalan Kuching,","Kuala Lumpur City Centre",8970,8.97,5.573958,837,13.95,0.2325,"driving"
"Kuala Lumpur - Jalan Kuching,","Bukit Bintang, Kuala Lumpur",10905,10.905,6.776367,939,15.65,0.260833333333333,"driving"
"Kuala Lumpur - Kepong,","Kuala Lumpur, TRX",NA,NA,NA,NA,NA,NA,NA
"Kuala Lumpur - Kepong,","Kuala Lumpur City Centre",NA,NA,NA,NA,NA,NA,NA
"Kuala Lumpur - Kepong,","Bukit Bintang, Kuala Lumpur",NA,NA,NA,NA,NA,NA,NA
"Kuala Lumpur - Sentul,","Kuala Lumpur, TRX",12028,12.028,7.4741992,1443,24.05,0.400833333333333,"driving"
"Kuala Lumpur - Sentul,","Kuala Lumpur City Centre",12398,12.398,7.7041172,1283,21.3833333333333,0.356388888888889,"driving"
"Kuala Lumpur - Sentul,","Bukit Bintang, Kuala Lumpur",14333,14.333,8.9065262,1385,23.0833333333333,0.384722222222222,"driving"
"Kuala Lumpur - Jalan Ipoh,","Kuala Lumpur, TRX",7889,7.889,4.9022246,992,16.5333333333333,0.275555555555556,"driving"
"Kuala Lumpur - Jalan Ipoh,","Kuala Lumpur City Centre",5537,5.537,3.4406918,819,13.65,0.2275,"driving"
"Kuala Lumpur - Jalan Ipoh,","Bukit Bintang, Kuala Lumpur",7472,7.472,4.6431008,920,15.3333333333333,0.255555555555556,"driving"
"Kuala Lumpur - Setapak,M3 Residency","Kuala Lumpur, TRX",13324,13.324,8.2795336,1465,24.4166666666667,0.406944444444444,"driving"
"Kuala Lumpur - Setapak,M3 Residency","Kuala Lumpur City Centre",13057,13.057,8.1136198,1486,24.7666666666667,0.412777777777778,"driving"
"Kuala Lumpur - Setapak,M3 Residency","Bukit Bintang, Kuala Lumpur",13143,13.143,8.1670602,1488,24.8,0.413333333333333,"driving"
"Kuala Lumpur - KLCC,D'Puncak Suasana","Kuala Lumpur, TRX",3364,3.364,2.0903896,603,10.05,0.1675,"driving"
"Kuala Lumpur - KLCC,D'Puncak Suasana","Kuala Lumpur City Centre",0,0,0,0,0,0,"driving"
"Kuala Lumpur - KLCC,D'Puncak Suasana","Bukit Bintang, Kuala Lumpur",2460,2.46,1.528644,595,9.91666666666667,0.165277777777778,"driving"
"Kuala Lumpur - Setiawangsa,Kaleidoscope","Kuala Lumpur, TRX",12129,12.129,7.5369606,1197,19.95,0.3325,"driving"
"Kuala Lumpur - Setiawangsa,Kaleidoscope","Kuala Lumpur City Centre",12875,12.875,8.000525,1324,22.0666666666667,0.367777777777778,"driving"
"Kuala Lumpur - Setiawangsa,Kaleidoscope","Bukit Bintang, Kuala Lumpur",11562,11.562,7.1846268,1188,19.8,0.33,"driving"
